Sector	BufoCalamita	TOT.N	S.RICH	OPEN.L	OLIVE	MONT.S	MONT	POLIC	SHRUB	URBAN	WAT.RES	L.WAT.C	L.D.ROAD	L.P.ROAD	D.WAT.RES	D.WAT.COUR	D.PARK
C	0	7	4	67.618	0	0	29.646	0.206	0.038	0	0	0.868	2192.85	0.73	1240	785	19645.717
C	0	3	3	83.357	0	1.455	10.966	0.375	0.095	0	0	1.198	4584.532	0.652	1032	257	20141.987
C	0	5	4	70.684	6.104	0	18.295	0.086	0	0.143	0.127	2.334	3775.124	0.668	808.467	118.579	20640.729
C	0	4	2	30.907	1.628	0	61.226	0.05	0.02	0.146	0	3.525	4141.559	0.645	534	237.041	21138.903
C	0	7	4	26.687	22.757	0	38.638	0.06	0.064	7.586	0.198	3.087	1023.062	0.602	197.943	45.832	21631.542
C	2	12	5	9.571	29.752	4.347	44.78	0	0.137	6.545	0.473	2.444	2970.299	0.571	663.628	44.744	22119.102
C	2	7	3	26.687	22.757	0	38.638	0.06	0.064	7.586	0.198	3.087	3024.304	0.602	955	120.855	22613.647
C	3	14	5	16.478	6.362	1.376	69.984	0	0.214	0.033	0	3.934	2242.183	0.953	1405	24.313	23113.45
C	1	10	4	26.365	2.002	4.347	63.148	0	0.14	0.083	0	2.214	4039.803	0.765	1883	178.837	23606.088
C	0	4	3	39.609	17.712	1.796	31.697	0.044	0.622	4.525	0	2.122	1583.843	1.578	1730	21.336	24046.886
C	0	11	4	33.511	20.406	0	20.496	1.861	0	17.523	0	1.29	4255.414	2.96	1300	111.764	24444.874
C	0	3	3	24.438	22.472	0.259	32.909	0.151	0.18	14.752	0.319	2.471	1808.924	1.407	992.257	225.514	24884.803
